sheet,tab_name,gid,rows,cols,hidden
grow,grow_C_sched_week,1980472913,163,18,no
grow,Claude Cache,988992426,1000,26,yes
grow,grow_C_sched_day,250423304,1035,19,no
grow,grow_C_seeding,0,296,33,no
grow,grow_C_harvest,996847939,62582,17,no
grow,grow_C_harvest_sched,1724759337,6252,16,no
grow,grow_L_germination,573763514,1000,27,no
grow,grow_L_seeding,974673623,5928,37,no
grow,grow_L_harvest,964075469,1000,14,no
grow,grow_L_seeding_labels,304833723,3,1,no
grow,grow_L_seeding_lb_bd,1519770841,2785,4,no
grow,grow_fert_recipe,159343011,90,6,no
grow,grow_fert_recipe_mix,1611169984,522,7,no
grow,grow_fert_sched,2083257185,1363,15,no
grow,grow_spray_pre_check,798558924,750,13,no
grow,grow_spray_sched,1376522359,1080,30,no
grow,grow_scouting,1018290306,998,14,no
grow,grow_scouting_observations,517506494,997,12,no
grow,Sheet51,504684436,1000,26,no
grow,grow_scouting_old,326845938,999,24,no
grow,grow_chem,1122676335,31714,28,no
grow,Chart2,984388872,,,no
grow,grow_fert_targets,1023207981,999,25,no
grow,grow_chem_flags,942108889,12,4,no
grow,grow_variety,13803285,26,3,no
fsafe,fsafe_log_list,1079521917,16,8,no
fsafe,fsafe_log_corrective_action,835113646,483,12,no
fsafe,fsafe_corrective_actions,41196999,13,25,no
fsafe,fsafe_test_name,1494719579,18,7,no
fsafe,fsafe_site_name,2127781586,661,5,no
fsafe,fsafe_log_emp,0,1383,22,no
fsafe,fsafe_log_water,1365842987,239,16,no
fsafe,fsafe_log_test_n_hold,891695204,602,24,no
fsafe,fsafe_log_test_n_hold_APC,1366657819,1000,4,no
fsafe,fsafe_log_training,287068649,53,10,no
fsafe,fsafe_log_training_employees,1486022608,11960,9,no
fsafe,fsafe_log_C_gh_pre,576829684,1130,16,no
fsafe,fsafe_log_C_gh_post,667404946,706,14,no
fsafe,fsafe_log_C_ph_pre,1733448228,1070,43,no
fsafe,fsafe_log_C_ph_post,2018822328,1084,33,no
fsafe,fsafe_log_L_gh_pre,1010232722,442,27,no
fsafe,fsafe_log_L_gh_post,665225284,430,25,no
fsafe,fsafe_log_L_ph_pre,144431863,594,56,no
fsafe,fsafe_log_L_ph_post,1198408301,406,44,no
fsafe,fsafe_log_pest,728820154,2273,14,no
fsafe,fsafe_log_pest_stations,1453005559,1000,3,no
fsafe,fsafe_log_glass,90335477,41,17,no
fsafe,fsafe_log_calibration,859712882,999,36,no
fsafe,fsafe_log_visitors,75130308,998,4,no
maint,maint_req,0,8709,27,no
maint,Sheet11,753730491,8138,26,no
maint,maint_sites,1190530862,294,1,no
maint,Copy of maint_sites,1481068382,295,4,no
maint,maint_house_inspections,2068803703,982,25,no
maint,maint_houses,450079539,994,2,no
sales,sales_po,1670277892,24665,47,no
sales,Pivot Table 37,487550016,1000,26,no
sales,Sheet66,1508033847,853,47,no
sales,sales_customer,1273211253,68,11,no
sales,sales_Vehicles,2082907755,5,2,no
sales,sales_product_price_matrix,1871485014,513,16,no
sales,sales_product,0,30,7,no
sales,sales_product_measurements,2087257901,26,9,no
sales,sales_product_prices,554746679,53,16,no
sales,sales_product_specs,2028451791,14,28,no
sales,sales_customer_feedback,639130559,999,8,no
sales,sales_lettuce_cases,179921373,1001,8,no
sales,sales_po_palletization,954039427,101,22,no
sales,sales_palletization_container,1150746689,1000,27,no
sales,sales_po_palletization_date,1146624940,6,10,no
sales,sales_po_palletization_print_envelopes,1475464385,1000,2,no
sales,sales_po_test,1737520821,37,45,no
sales,sales_FOB,363290420,7,1,no
sales,Sheet64,363384742,1000,26,no
sales,sales_sysco_product_specs,1855835306,16,32,no
sales,sales_qb_upload_date,468944094,1000,4,no
sales,sales_po_upload,20138924,87,4,no
sales,sales_CRM_stores,1897397413,115,9,no
sales,sales_CRM_store_visits,435743103,583,13,no
sales,sales_CRM_store_visit_prices,32681616,377,66,no
sales,sales_CRM_chain_prices,582883681,5073,16,no
sales,sales_CRM_store_visit_prices_old,115423583,204,60,no
sales,sales_CRM_store_visit_price_unpivot,1362776471,2521,14,no
sales,Markup_AppSheets,1040404836,44,16,no
sales,sales_ext_prices,762722600,965,16,no
sales,sales_ext_store_products,277513898,1000,3,yes
sales,sales_ext_products,881670334,993,7,no
sales,sales_ext_farms,1282173512,1000,2,no
sales,sales_ext_prices_non_HI,1304374657,1000,34,no
sales,Automatic Operations Events Log,707997860,1000,26,yes
